LSOA11CD,PTAI
E01000683,252.1983422
E01000684,136.0253967
E01000685,168.1116512
E01000686,96.15530868
E01000687,12.03480382
E01000688,113.8132374
E01000689,631.4856139
E01000690,205.2584819
E01000691,289.4663702
E01000692,242.0532401
E01000693,130.9644794
E01000694,245.1342359
E01000695,414.9591915
E01000696,130.8058256
E01000697,256.1491454
E01000698,41.2051713
E01000699,275.9018904
E01000700,123.8973147
E01000701,59.12101144
E01000702,256.0500375
E01000703,60.0492049
E01000704,125.5341666
E01000705,29.5743219
E01000706,117.9986452
E01000707,220.4533036
E01000708,155.0744995
E01000709,460.0724304
E01000710,210.7137814
E01000711,146.5695269
E01000712,214.9846453
E01000713,57.41336026
E01000714,40.40433143
E01000715,207.5130628
E01000716,276.0192027
E01000717,138.5366402
E01000718,21.58769416
E01000719,269.8414221
E01000720,363.9403808
E01000721,132.0362867
E01000722,627.5762579
E01000723,105.1282834
E01000724,49.57782206
E01000725,70.61983582
E01000726,261.0589502
E01000727,958.2459316
E01000728,212.9734787
E01000729,719.9257685
E01000730,18.58201425
E01000731,24.58174785
E01000732,5.730585923
E01000733,18.04027748
E01000734,75.82783195
E01000735,28.37786744
E01000736,74.31420581
E01000737,23.79310088
E01000738,0.771467618
E01000739,8.892009184
E01000740,276.5061892
E01000741,448.4836725
E01000742,185.4144109
E01000743,93.74415304
E01000744,2.634153369
E01000745,21.24573311
E01000746,58.6566098
E01000747,23.56313296
E01000748,1159.03809
E01000749,129.0105962
E01000750,8.386069047
E01000751,441.8763475
E01000752,1919.242287
E01000753,17.63518246
E01000754,2351.082061
E01000755,95.70193451
E01000756,33.60046974
E01000757,79.5824432
E01000758,1261.251294
E01000759,14.28053682
E01000760,178.2778087
E01000761,1029.686105
E01000762,26.7489827
E01000763,79.71839711
E01000764,11.55930425
E01000765,212.975894
E01000766,87.88356032
E01000767,77.87644261
E01000768,38.06265388
E01000769,199.1897439
E01000770,971.3787328
E01000771,344.7284557
E01000772,168.3470004
E01000773,128.4857105
E01000774,7.004691601
E01000775,28.20987454
E01000777,132.0079131
E01000778,18.80978886
E01000779,447.6064222
E01000780,77.6473377
E01000781,205.4737699
E01000782,30.48431797
E01000783,111.6148155
E01000784,50.23560823
E01000785,6.204789909
E01000786,57.83450777
E01000787,128.4384568
E01000788,59.37520803
E01000789,65.08062329
E01000790,79.770427
E01000791,581.1168854
E01000792,131.8341773
E01000793,17.74651106
E01000794,175.6183318
E01000795,5.987696806
E01000796,22.98472625
E01000797,44.03150765
E01000798,315.1594575
E01000799,4.918326834
E01000800,22.07385846
E01000801,83.84211115
E01000802,198.8792479
E01000803,209.2324897
E01000804,173.88929
E01000805,50.77530097
E01000806,13.59135904
E01000807,23.03029517
E01000808,150.8447541
E01000809,65.8415214
E01000810,9.789971338
E01000811,2.290861064
E01000812,126.2625745
E01000813,63.48173143
E01000814,25.8186432
E01000815,7.805547484
E01000816,9.881242409
E01000818,150.8990855
E01000819,25.17956023
E01000820,43.51384133
E01000822,434.2301392
E01000823,87.97273532
E01000824,68.28103638
E01000825,95.32737996
E01000826,214.2982156
E01000827,307.8529584
E01000828,116.9643451
E01000829,135.8396322
E01000830,118.6872937
E01000831,19.23047441
E01000832,120.4965737
E01000833,87.46260597
E01000834,393.6335945
E01000835,92.01657349
E01000836,111.9722739
E01000837,35.31108157
E01000838,116.2687707
E01000839,0.165947711
E01000840,45.56879008
E01000841,345.3393607
E01000842,96.14514551
E01000843,3.802913476
E01000844,26.00919654
