ward,dow,slot,officers_alloc,hours_alloc,benefit
Cheam,6,6,100,200,0.10310448949500384
Cheam,2,6,100,200,0.07637391408762062
Chelsea Riverside,2,6,100,200,0.08996218850330885
Chelsea Riverside,3,6,100,200,0.08125653978148503
Chelsea Riverside,4,6,100,200,0.08125646166808576
Chelsea Riverside,6,6,100,200,0.0754528769989718
Chelsfield,2,6,100,200,0.19166384762693794
Chelsfield,6,6,100,200,0.17036825096759872
Chelsfield,4,6,100,200,0.14907211004546977
Chelsfield,5,6,100,200,0.1419730794948931
Childs Hill,4,6,100,200,0.5888882804163894
Childs Hill,2,6,100,200,0.5888880235976535
Childs Hill,5,6,100,200,0.5561723976599339
Childs Hill,0,6,100,200,0.5070976845807985
Chingford Green,6,6,100,200,0.2331020679782106
Chingford Green,0,6,100,200,0.22446820390086336
Chingford Green,5,6,100,200,0.1640350351044514
Chingford Green,2,6,100,200,0.129501444309291
Chislehurst,2,6,100,200,0.47520915878542563
Chislehurst,6,6,100,200,0.39784943748159574
Chislehurst,4,6,100,200,0.38679883914687224
Chislehurst,5,6,100,200,0.3315420241308524
Chiswick Gunnersbury,0,6,100,200,0.44480284501681855
Chiswick Gunnersbury,3,6,100,200,0.3854962376713235
Chiswick Gunnersbury,4,6,100,200,0.3632563660560941
Chiswick Gunnersbury,2,6,100,200,0.35584303401042444
Chiswick Homefields,4,6,100,200,0.3279825920866825
Chiswick Homefields,0,6,100,200,0.2827430043785711
Chiswick Homefields,6,6,100,200,0.2770883525706825
Chiswick Homefields,1,6,100,200,0.23750460888904057
Chiswick Riverside,4,6,100,200,0.3677523289232402
Chiswick Riverside,0,6,100,200,0.23795718302239008
Chiswick Riverside,2,6,100,200,0.21632538041403826
Chiswick Riverside,1,6,100,200,0.194692936106972
Church Street,2,6,100,200,0.48077891272174234
Church Street,5,6,100,200,0.45751570170984535
Church Street,0,6,100,200,0.4264970320014719
Church Street,3,6,100,200,0.39547985924648515
Churchfields,2,6,100,200,0.26611604121827104
Churchfields,0,6,100,200,0.2661160143361612
Churchfields,4,6,100,200,0.24876071510203515
Churchfields,6,6,100,200,0.2429756543704928
Clapham Common & Abbeville,0,6,100,200,0.45069588601459176
Clapham Common & Abbeville,5,6,100,200,0.3821125121266603
Clapham Common & Abbeville,1,6,100,200,0.36251678976026597
Clapham Common & Abbeville,2,6,100,200,0.34292156660469625
Clapham East,4,6,100,200,0.3181214151215401
Clapham East,2,6,100,200,0.27099280781440716
Clapham East,0,6,100,200,0.24742824203998934
Clapham East,5,6,100,200,0.22975425512047173
Clapham Park,3,6,100,200,0.12437035367166092
Clapham Park,6,6,100,200,0.08836811214900102
Clapham Park,5,6,100,200,0.08836783603409813
Clapham Park,0,6,100,200,0.08509571018830442
Clapham Town,4,6,100,200,0.6754761105389921
Clapham Town,2,6,100,200,0.6235163348221126
Clapham Town,6,6,100,200,0.6027326764936095
Clapham Town,3,6,100,200,0.5819482297225618
Clayhall,5,6,100,200,0.10475370165763898
Clayhall,2,6,100,200,0.08318764155868515
Clayhall,6,6,100,200,0.07702483665357727
Clayhall,0,6,100,200,0.07394420811361037
Clementswood,2,6,100,200,0.14285895233363388
Clementswood,4,6,100,200,0.13928753828262322
Clementswood,3,6,100,200,0.11785834450848107
Clementswood,1,6,100,200,0.10714447316469666
Clerkenwell,3,6,100,200,0.3934247980486975
Clerkenwell,6,6,100,200,0.3078974388019199
Clerkenwell,0,6,100,200,0.29649418011271783
Clerkenwell,4,6,100,200,0.2793882405594242
Clissold,4,6,100,200,0.14085279606349713
Clissold,6,6,100,200,0.12935535201835197
Clissold,0,6,100,200,0.10060935680780422
Clissold,2,6,100,200,0.10060899406168597
Clock House,4,6,100,200,0.18324774271585376
Clock House,2,6,100,200,0.16551375708230465
Clock House,5,6,100,200,0.15960268184004928
Clock House,6,6,100,200,0.15960232528947566
Cockfosters,2,6,100,200,0.3785045130889548
Cockfosters,4,6,100,200,0.2879929725491654
Cockfosters,6,6,100,200,0.2715358047435802
Cockfosters,0,6,100,200,0.230394554709091
Colham & Cowley,2,6,100,200,0.5500017500905244
Colham & Cowley,5,6,100,200,0.5365871016894718
Colham & Cowley,4,6,100,200,0.4963431474008349
Colham & Cowley,1,6,100,200,0.42927003678096104
Colindale North,2,6,100,200,0.2805916605109335
Colindale North,5,6,100,200,0.25052805616043666
Colindale North,4,6,100,200,0.23048587573709686
Colindale North,6,6,100,200,0.22046495138096273
Colindale South,2,6,100,200,0.3458973366004981
Colindale South,4,6,100,200,0.34589683438885804
Colindale South,6,6,100,200,0.3458966831759074
Colindale South,5,6,100,200,0.2725248277347987
College Park & Old Oak,2,6,100,200,0.4829770901713859
College Park & Old Oak,4,6,100,200,0.46102385185168565
College Park & Old Oak,0,6,100,200,0.4610237134458567
College Park & Old Oak,5,6,100,200,0.40613967613916485
Colliers Wood,2,6,100,200,0.10300220878219853
Colliers Wood,1,6,100,200,0.08306619517089245
Colliers Wood,5,6,100,200,0.0764207092547776
Colliers Wood,3,6,100,200,0.07309839270306781
Colville,0,6,100,200,0.38235178310897217
Colville,6,6,100,200,0.36186846151186197
Colville,4,6,100,200,0.30724698962523583
Colville,3,6,100,200,0.2867638624871637
Coningham,4,6,100,200,0.43710298484883175
Coningham,6,6,100,200,0.43710242567349833
Coningham,5,6,100,200,0.34343785461876786
Coningham,3,6,100,200,0.3278272213419035
Coombe Hill,2,6,100,200,0.10566117690409309
Coombe Hill,4,6,100,200,0.08452851205374552
Coombe Hill,3,6,100,200,0.07607563855940358
Coombe Hill,6,6,100,200,0.06762314698631126
Coombe Vale,2,6,100,200,0.11517627561727617
Coombe Vale,5,6,100,200,0.11517626912080836
Coombe Vale,4,6,100,200,0.07943202932531773
Coombe Vale,0,6,100,200,0.07148932730886147
Coulsdon Town,6,6,100,200,0.1051792362083047
Coulsdon Town,4,6,100,200,0.08326685776415604
Coulsdon Town,2,6,100,200,0.0745015210788179
